[2022-05-11 12:58:49,952]:[INFO]:Save to data/url/restaurant_Phuong Phuc Tan.txt
[2022-05-11 12:58:49,952]:[INFO]:query_search: restaurant near Phuong Dong Xuan
[2022-05-11 12:59:06,708]:[INFO]:Scrolling url ...
[2022-05-11 13:00:43,740]:[INFO]:all_link_restaurant: 160
[2022-05-11 13:00:48,744]:[INFO]:Time run Phuong Dong Xuan: 0:00:01.979859 minutes
[2022-05-11 13:00:48,744]:[INFO]:Save to data/url/restaurant_Phuong Dong Xuan.txt
[2022-05-11 13:00:48,744]:[INFO]:query_search: restaurant near Phuong Hang Ma
[2022-05-11 13:01:05,283]:[INFO]:Scrolling url ...
[2022-05-11 13:03:16,857]:[INFO]:all_link_restaurant: 240
[2022-05-11 13:03:21,863]:[INFO]:Time run Phuong Hang Ma: 0:00:02.551988 minutes
[2022-05-11 13:03:21,864]:[INFO]:Save to data/url/restaurant_Phuong Hang Ma.txt
[2022-05-11 13:03:21,864]:[INFO]:query_search: restaurant near Phuong Hang Buom
[2022-05-11 13:03:39,503]:[INFO]:Scrolling url ...
[2022-05-11 13:05:42,445]:[INFO]:all_link_restaurant: 220
[2022-05-11 13:05:47,452]:[INFO]:Time run Phuong Hang Buom: 0:00:02.426462 minutes
[2022-05-11 13:05:47,452]:[INFO]:Save to data/url/restaurant_Phuong Hang Buom.txt
[2022-05-11 13:05:47,452]:[INFO]:query_search: restaurant near Phuong Hang Dao
[2022-05-11 13:06:03,523]:[INFO]:Scrolling url ...
[2022-05-11 13:08:05,886]:[INFO]:all_link_restaurant: 220
[2022-05-11 13:08:10,893]:[INFO]:Time run Phuong Hang Dao: 0:00:02.390676 minutes
[2022-05-11 13:08:10,893]:[INFO]:Save to data/url/restaurant_Phuong Hang Dao.txt
[2022-05-11 13:08:10,893]:[INFO]:query_search: restaurant near Phuong Hang Bo
[2022-05-11 13:08:28,004]:[INFO]:Scrolling url ...
[2022-05-11 13:10:38,472]:[INFO]:all_link_restaurant: 240
[2022-05-11 13:10:43,478]:[INFO]:Time run Phuong Hang Bo: 0:00:02.543081 minutes
[2022-05-11 13:10:43,478]:[INFO]:Save to data/url/restaurant_Phuong Hang Bo.txt
[2022-05-11 13:10:43,478]:[INFO]:query_search: restaurant near Phuong Cua Dong
[2022-05-11 13:10:59,947]:[INFO]:Scrolling url ...
[2022-05-11 13:12:53,951]:[INFO]:all_link_restaurant: 200
[2022-05-11 13:12:58,957]:[INFO]:Time run Phuong Cua Dong: 0:00:02.257972 minutes
[2022-05-11 13:12:58,957]:[INFO]:Save to data/url/restaurant_Phuong Cua Dong.txt
[2022-05-11 13:12:58,957]:[INFO]:query_search: restaurant near Phuong Ly Thai To
[2022-05-11 13:13:15,541]:[INFO]:Scrolling url ...
[2022-05-11 13:15:17,601]:[INFO]:all_link_restaurant: 220
[2022-05-11 13:15:22,605]:[INFO]:Time run Phuong Ly Thai To: 0:00:02.394114 minutes
[2022-05-11 13:15:22,605]:[INFO]:Save to data/url/restaurant_Phuong Ly Thai To.txt
[2022-05-11 13:15:22,605]:[INFO]:query_search: restaurant near Phuong Hang Bac
[2022-05-11 13:15:38,563]:[INFO]:Scrolling url ...
[2022-05-11 13:17:19,452]:[INFO]:all_link_restaurant: 120
[2022-05-11 13:17:24,456]:[INFO]:Time run Phuong Hang Bac: 0:00:02.030848 minutes
[2022-05-11 13:17:24,456]:[INFO]:Save to data/url/restaurant_Phuong Hang Bac.txt
